county_label,month,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,carrier_usage_ratio,n_active_industries,industry_hhi,date,year,month_num,month_sin,month_cos,avg_invoice_value,log_total_count,log_total_amount,county_type,donation_seasonal,donation_trend,donation_ratio_lag1,donation_ratio_lag2,donation_ratio_lag3,donation_ratio_roll3,county_name
15,2024-06,42.0,0.58,7082666,2851275157,22814,0.0032211034658418,0.509522261814972,42.0,0.6072282586003613,2024-06-01,2024,6,1.2246467991473532e-16,-1.0,402.5708902551666,15.77316108965344,21.77103215502241,remote,0.0001250613278735995,0.0030551063993008447,0.0037552655557585,0.0029257996055312,0.0032709550695694,0.003317340076953033,花蓮縣
15,2024-07,42.21,0.04,7454549,3115244185,25403,0.0034077178914512,0.5123670124108112,42.0,0.6005239991809772,2024-07-01,2024,7,-0.4999999999999998,-0.8660254037844388,417.89841142636527,15.824335142186069,21.859573376482643,remote,0.0002546939268302406,0.0031568553975408523,0.0032211034658418,0.0037552655557585,0.0029257996055312,0.0033007228757104996,花蓮縣
15,2024-08,42.21,0.04,7660970,3168188657,22457,0.0029313520350556,0.5147204596806931,43.0,0.5955954630755329,2024-08-01,2024,8,-0.8660254037844384,-0.5000000000000004,413.54928383742526,15.851649296085188,21.876425860261854,remote,-0.00034294289537137735,0.003258635281248358,0.0034077178914512,0.0032211034658418,0.0037552655557585,0.0034613623043505,花蓮縣
15,2024-09,42.21,0.04,7396668,3127378779,25889,0.0035000894997585,0.5229123437742508,42.0,0.6003870540616438,2024-09-01,2024,9,-1.0,-1.8369701987210297e-16,422.8091323011929,15.81654032169803,21.86346104016169,remote,0.00016439747309058647,0.0033604303318416945,0.0029313520350556,0.0034077178914512,0.0032211034658418,0.0031867244641162,花蓮縣
15,2024-10,41.82,-0.11,7277855,3459554105,22015,0.0030249297354783,0.5319478060499969,43.0,0.6025533332812013,2024-10-01,2024,10,-0.8660254037844386,0.5000000000000001,475.35353548538683,15.800346871303104,21.964405546613186,remote,-0.000433381134322116,0.0034622246847755243,0.0035000894997585,0.0029313520350556,0.0034077178914512,0.0032797198087550997,花蓮縣
15,2024-11,41.82,-0.11,7226188,3164890093,24059,0.0033294179448417,0.5264153105344063,45.0,0.5892324187438129,2024-11-01,2024,11,-0.5000000000000004,0.8660254037844384,437.97505586624646,15.793222345897076,21.87538416650517,remote,-0.00024450523355416494,0.0035640143709927703,0.0030249297354783,0.0035000894997585,0.0029313520350556,0.0031521237567641337,花蓮縣
15,2024-12,41.82,-0.11,7343441,3198263002,21588,0.0029397662485475,0.5369406522092299,43.0,0.5864786681362746,2024-12-01,2024,12,-2.4492935982947064e-16,1.0,435.5264789354201,15.80931822800365,21.885873687814062,remote,-0.0007217293148523927,0.0036657995625787557,0.0033294179448417,0.0030249297354783,0.0035000894997585,0.0032848123933594997,花蓮縣
17,2019-01,28.72,0.45,9852176,4061597927,12794,0.0012985963709945,0.17470556758222752,38.0,0.5254649074760444,2019-01-01,2019,1,0.49999999999999994,0.8660254037844387,412.25389467260834,16.10320300395643,22.12484231145354,agricultural,-0.0004128973504872205,0.001719978746016498,,,,,雲林縣
17,2019-02,28.72,0.45,10015029,3655014813,12508,0.0012489229936328,0.1583815683409404,38.0,0.541484846013507,2019-02-01,2019,2,0.8660254037844386,0.5000000000000001,364.9529934461498,16.11959752258431,22.019365983217913,agricultural,-0.0004366923904316943,0.001642844583811811,0.0012985963709945,,,0.0012985963709945,雲林縣
17,2019-03,28.72,0.45,10121315,3849911759,13363,0.0013202829869438,0.17994440445732596,38.0,0.5221342246505357,2019-03-01,2019,3,1.0,6.123233995736766e-17,380.3766367314919,16.13015425289488,22.07131606550293,agricultural,-0.00023283614013824798,0.0015657720082535164,0.0012489229936328,0.0012985963709945,,0.00127375968231365,雲林縣
