month,industry_invoice_count,industry_invoice_amount,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,industry_label,carrier_type_label,county_label
2019-05,10,111978,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,19,1,0
2019-05,383,1248075,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,19,0,0
2019-05,123,339779431,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,24,1,0
2019-05,1967,2672242,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,29,1,0
2019-05,1150,1267843,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,29,0,0
2019-05,9263,14042049,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,42,0,0
2019-05,241,392413,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,42,1,0
2019-05,82337,138174516,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,44,1,0
2019-05,8424,27573985,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,44,0,0
2019-05,105,1152350,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,45,1,0
2019-05,2,82900,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,45,0,0
2019-05,449,275478,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,49,1,0
2019-05,88746,8499260,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,51,1,0
2019-05,158,27080,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,51,0,0
2019-05,3,29233,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,53,1,0
2019-05,70715,32915773,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,60,0,0
2019-05,4481,271183,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,67,1,0
2019-05,1046,42373,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,67,0,0
2019-05,582,91413,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,76,1,0
2019-05,118,193762,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,78,1,0
2019-05,45319,27745069,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,79,1,0
2019-05,269,88892,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,79,0,0
2019-05,9049,1277095,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,80,0,0
2019-05,26067,3674929,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,80,1,0
2019-05,176,18697722,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,84,1,0
2019-05,9261,5983994,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,87,1,0
2019-05,2469,474630,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,87,0,0
2019-05,5333415,1569440319,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,88,1,0
2019-05,735665,157429205,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,88,0,0
2019-05,10862,32275287,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,89,1,0
2019-05,345944,189671308,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,89,0,0
2019-05,436,1414012,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,90,1,0
2019-05,215825,310190922,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,90,0,0
2019-05,1046,37608890,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,93,1,0
2019-05,82,47421,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,93,0,0
2019-05,1355,1400000,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,94,0,0
2019-05,399,918590,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,94,1,0
2019-05,39124,155634405,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,99,1,0
2019-05,251,156032,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,99,0,0
2019-05,35555,9831739,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,100,1,0
2019-05,69,41506,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,100,0,0
2019-05,25769,3691704,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,101,0,0
2019-05,783028,143019991,33.14,0.16,7979018,3333388778,7929,0.0009937313087901,101,1,0
2019-06,25296,6841311,33.14,0.16,8276003,3420238416,7564,0.0009139677692238,0,1,0
2019-06,2540,326949,33.14,0.16,8276003,3420238416,7564,0.0009139677692238,0,0,0
2019-06,208,1336918,33.14,0.16,8276003,3420238416,7564,0.0009139677692238,1,1,0
2019-06,79,119600,33.14,0.16,8276003,3420238416,7564,0.0009139677692238,2,1,0
2019-06,285,221332,33.14,0.16,8276003,3420238416,7564,0.0009139677692238,4,0,0
2019-06,58604,72788937,33.14,0.16,8276003,3420238416,7564,0.0009139677692238,4,1,0
2019-06,64,462537,33.14,0.16,8276003,3420238416,7564,0.0009139677692238,6,1,0
2019-06,981,1282914,33.14,0.16,8276003,3420238416,7564,0.0009139677692238,8,1,0
